POMMES PROST( ポメスプロースト ),                                                                                            東京 / 千葉 / 栃木 / 長野 /                                                                                        他応相談可                                        , 普通車, こぼれ明太子/ベルギーポテトフライ/お酒,                                                                                            東京都杉並区                                                                                    
KITCHEN ROOM,                                                                                            東京、横浜市、千葉 /                                                                                        他応相談可                                        , 軽自動車, カオマンガイ、ココナッツチキンカレーなど,                                                                                            東京都世田谷区                                                                                    
EnKei Food & Wheelz (エンケイフードアンドウィールズ）,                                                                                            東京 / 横浜 / 川崎 / 茅ヶ崎 / 神奈川 / 藤沢 /                                                                                        他応相談可                                        , 普通車トラック, BBQステーキ&チップス / BBQステーキ弁当 / ブラジリアンソーセージ”リングイッサ” / 他,                                                                                            神奈川県茅ヶ崎市                                                                                    
ふるーつなのに〜昔懐かし、あの味。〜,                                                                                            東京都/埼玉県/さいたま市/川口市/千葉県/栃木県/群馬県/神奈川県 /                                                                                        他応相談可                                        , 軽自動車, フルーツサンド,                                                                                            埼玉県川越市富士見町                                                                                    
オリーブ亭,                                                                                            東京都/千葉県/さいたま市 /                                                                                        他応相談可                                        , 普通車トラック, ケチャップ/オムライス,                                                                                            千葉県千葉市若葉区                                                                                    
niwatori truck,                                                                                            東京 / 千葉 /                                                                                        他応相談可                                        , 普通車トラック, フォー,                                                                                            千葉県市川市                                                                                    
鷹栖のおにぎり　そら,                                                                                            東京都、千葉県、埼玉県 /                                                                                        他応相談可                                        , 普通車トラック, おにぎり、カップライス(角煮丼),                                                                                            東京都中央区                                                                                    
Izzy's Cafe,                                                                                            東京 / 川崎市 / 横浜市 /                                                                                        他応相談可                                        , 軽自動車, 砂糖不使用チャイラテ/オーガニックコーヒー/チャイラテ/オーガニックオリジナルレモネード,                                                                                            神奈川県川崎市高津区                                                                                    
BONNIE&FRIED.tokyo（ﾎﾞﾆｰｱﾝﾄﾞﾌﾗｲﾄﾞﾄｳｷｮｳ）,                                                                                            東京都 / さいたま市 /                                                                                        他応相談可                                        , 軽自動車, ハンバーガー、フレンチフライ、フリッター、ソフトドリンク、ビール,                                                                                            東京都世田谷区                                                                                    
bob’s rib’s( ボブズ リブズ ),                                                                                            東京 / 千葉 / 横浜 /                                                                                        他応相談可                                        , 普通車トラック, グリルドバックリブ/リブラーメン/リブバーガー,                                                                                            東京都渋谷区                                                                                    
Camp×Camp,                                                                                            埼玉県一円　さいたま市　東京都一円 /                                                                                        他応相談可                                        , 普通車トラック, 角煮&チーズプレート　おかずマフィン　デザートマフィン,                                                                                            埼玉県さいたま市南区                                                                                    
Red Barn cafe,                                                                                            東京都/横浜市内/千葉県/神奈川県内 /                                                                                        他応相談可                                        , その他, ブリオッシュバンズのチキンサンド 、キューバサンド、各種ホットサンド、バターチキンカレー、ボロネーゼオーバーライス、コーヒー各種、10種類のタピオカドリンク,                                                                                            神奈川県横浜市保土ケ谷区                                                                                    
la strada,                                                                                            東京／神奈川 /                                                                                        他応相談可                                        , 軽自動車, スパイスカレー・タコライス・照り焼きチキン丼・ピタパンetc,                                                                                            東京都小平市                                                                                    
rico curry,                                                                                            東京 / 千葉 / 横浜 / 茅ヶ崎 / 藤沢 /                                                                                        他応相談可                                        , 軽自動車, カレー / ガパオライス / タコライス / ドリンク / お酒 / ケータリング / その他,                                                                                            東京都渋谷区                                                                                    
MIGHTY FIVE STAR,                                                                                            東京 / 横浜 / 福岡一円 / 筑紫 /                                                                                        他応相談可                                        , 普通車トラック, ピザ / カレー,                                                                                            福岡県福岡市東区                                                                                    
NOODLE STAND栗原商店,                                                                                            東京 / 千葉 / 横浜 /                                                                                        他応相談可                                        , 普通車トラック, ラーメン/ 油そば / パスタ / ワッパ弁当 / 他多数,                                                                                            東京都文京区                                                                                    
cocot ココット -しあわせの黄色いキッチンカー-【焼き芋屋さん】,                                                                                            静岡県（要相談：埼玉 / 東京） /                                                                                        他応相談可                                        , 軽自動車, 《熟成》焼き芋 / まるごどひんやり焼き芋  / おいもniアイス / oimoジェラート / Hawaiiなシェイブアイス / おいもに合うコーヒー,                                                                                            静岡県静岡市                                                                                    
Vamos,                                                                                            東京 / 千葉 / 埼玉 / 茨城 / 横浜 /                                                                                        他応相談可                                        , 普通車, ギュロス/ファラフェルサンド/世界一周料理,                                                                                            千葉県流山市                                                                                    
Tavern,                                                                                            千葉県 / 都内一円 / 埼玉一円 /                                                                                        他応相談可                                        , 軽自動車, クラフト生ビール / ロングポテト,                                                                                            千葉県柏市                                                                                    
A.SU Asian Soup Kitchen,                                                                                            東京都/神奈川県/千葉県 /                                                                                        他応相談可                                        , 普通車, スープ&ライスセット、タイBBQチキンライス、シンガポールチャーシューライス,                                                                                            東京都港区                                                                                    
880 Kitchen,                                                                                            神奈川県一円/東京 /                                                                                        他応相談可                                        , 普通車トラック, バブルワッフル,                                                                                            神奈川県横須賀市                                                                                    
hola! TACOS,                                                                                            東京都/神奈川県/千葉県 /                                                                                        他応相談可                                        , 軽自動車, タコス、タコライス、クラフト生ビール、チュロス、ナチョス、チップスサルサ,                                                                                            千葉県松戸市                                                                                    
FRIT BOY,                                                                                            東京 / 千葉 / 横浜 / 群馬(前橋、高崎以外一円) /                                                                                        他応相談可                                        , 普通車トラック, フライドポテト/ガーリックシュリンプ/ステーキバーガー,                                                                                            東京都世田谷区                                                                                    
TeaEra,                                                                                            東京都、神奈川県、千葉県 /                                                                                        他応相談可                                        , 軽自動車, 日本茶、おにぎり、とん汁、ノンアルティードリンク、ラテ系,                                                                                            東京都町田市                                                                                    
Outdoor Crepes,                                                                                            東京/千葉/埼玉/群馬/茨城一円 /                                                                                        他応相談可                                        , 軽自動車, クレープ/かき氷/タピオカ/ドリンク/他,                                                                                            埼玉県越谷市                                                                                    
キッチンあがいてぃーら,                                                                                            東京 / 千葉 / さいたま市 /                                                                                        他応相談可                                        , 普通車, 太陽のから揚げ / チキン南蛮  / 他,                                                                                            千葉県流山市                                                                                    
Y's CAFE,                                                                                            東京/埼玉/さいたま市/千葉/長野/横浜/茨城 /                                                                                        他応相談可                                        , 軽自動車, クレープ/タピオカ/スムージー/かき氷/わたあめホットドッグ/他,                                                                                            埼玉県北本市                                                                                    
MT SMILE,                                                                                            東京都/川崎市 /                                                                                        他応相談可                                        , 軽自動車, 日替わりカレー/日替わりチキン/カオマンガイ/豚肉丼/パッタイやきそば/国産豚チャーシュー/トムヤムスープ/その他トッピング有り,                                                                                            神奈川県川崎市中原区                                                                                    
kitchen macaroni,                                                                                            東京都 /                                                                                        他応相談可                                        , 普通車トラック, 生パスタ,                                                                                            東京都国立市東                                                                                    
SERVE,                                                                                            東京都 /                                                                                        他応相談可                                        , 軽自動車, ・米粉の焼きドーナツ(グルテンフリー)・タコライス・愛媛みかん100%ジュース,                                                                                            東京都調布市                                                                                    
Travelkitchen7,                                                                                            東京/千葉/横浜 /                                                                                        他応相談可                                        , 軽自動車, ハンバーガー/ホットドッグ/カレー/ドリンク/お酒/他,                                                                                            東京都西東京市                                                                                    
HALEAKALA,                                                                                            東京 / 千葉 / 埼玉 / さいたま市 /                                                                                        他応相談可                                        , 普通車トラック, コメコチキン／糀ポテト／タコライス／サンド／サラダ／バナナチョコトルティーヤ／チーズボール／ドリンクetc,                                                                                            東京都江戸川区                                                                                    
けいはん,                                                                                            東京 / 千葉 / 神奈川県一円 /                                                                                        他応相談可                                        , 普通車トラック, けいはん / 鴨ネギ串 / レインボーチーズホットサンド / イチゴとマシュマロのふわふわ串 / サーターアンダギーレインボー / オリオンビール / さんぴん茶,                                                                                            千葉県千葉市若葉区                                                                                    
WOHOS MART,                                                                                            東京、千葉、神奈川、他相談可 /                                                                                        他応相談可                                        , 普通車トラック, カレー、スパイスドリンク、スパイス料理,                                                                                            東京都世田谷区                                                                                    
PUERTO,                                                                                            東京/山梨県/静岡県/川崎市 /                                                                                        他応相談可                                        , 軽自動車, 古代米オムライス  自家製パンサンド,                                                                                            山梨県鳴沢村                                                                                    
風薫る神社なおきち,                                                                                            東京都 /                                                                                        他応相談可                                        , 軽自動車, 珈琲、チャイ、カフェオレ、焼き菓子,                                                                                            東京都西東京市                                                                                    
バンタコス,                                                                                            東京 /                                                                                        他応相談可                                        , 軽自動車, タコス タコライス トマトリゾット トマトスープ トルティーヤチップス ピザ各種 生クラフトビール4種,                                                                                            東京都杉並区                                                                                    
Loco Kitchen,                                                                                            東京、埼玉、千葉、横浜、藤沢、茅ヶ崎、神奈川、川崎、相模原、静岡 /                                                                                        他応相談可                                        , 普通車トラック, モチコチキン、ロコモコ、ガーリックシュリンプなど,                                                                                            神奈川県茅ヶ崎市                                                                                    
DON GARAGE,                                                                                            東京 /                                                                                        他応相談可                                        , 軽自動車, 豚丼、唐揚げ丼、ワッフルチキン,                                                                                            東京都杉並区                                                                                    
FIVE STARS,                                                                                            東京都 / 川崎市 / 横浜市 / 藤沢市 / 茅ヶ崎市 / 神奈川県一円/静岡県 /                                                                                        他応相談可                                        , 普通車, チュロス / ロングポテト,                                                                                            神奈川県中郡大磯町                                                                                    
Little Kitchen Soleil,                                                                                            東京 / 横浜 / 埼玉 / さいたま市 /                                                                                        他応相談可                                        , 普通車, 鉄板鶏飯 / ローストビーフ,                                                                                            東京都板橋区                                                                                    
